code,category,subcategory,description_pt,description_en,direction,doc_requirement,iof_op_type,active
40001,TURISMO,VIAGEM_INTERNACIONAL_ESPECIE,Viagens internacionais - espécie,International travel - cash,REMESSA,DECLARATION,TRAVEL_CASH,true
40002,TURISMO,RECEBIMENTOS_TURISTAS,Recebimentos de turistas estrangeiros,Foreign tourist receipts,INGRESSO,RECEIPT,DEFAULT,true
50000,CARTAO,CARTAO_CREDITO,Compras com cartão de crédito,Credit card purchases,REMESSA,STATEMENT,CREDIT_CARD,true
50001,CARTAO,CARTAO_DEBITO,Compras com cartão de débito,Debit card purchases,REMESSA,STATEMENT,DEFAULT,true
60000,RENDA,JUROS_DEPOSITO,Juros de depósitos,Deposit interest,INGRESSO,STATEMENT,DEFAULT,true
60100,RENDA,DIREITOS_AUTORAIS,Direitos autorais,Copyright royalties,REMESSA,CONTRACT,DEFAULT,true
60200,RENDA,ROYALTIES_TECNOLOGIA,Royalties tecnologia,Technology royalties,REMESSA,INPI+CONTRACT,DEFAULT,true
60201,RENDA,ROYALTIES_MARCA,Royalties marca / patente,Trademark / patent royalties,REMESSA,INPI+CONTRACT,DEFAULT,true
70000,DERIVATIVOS,DERIVATIVOS_NDF,Operações com derivativos - NDF,Derivative operations - NDF,BIDIRECTIONAL,ISDA+CONTRACT,DEFAULT,true
70001,DERIVATIVOS,DERIVATIVOS_FORWARD,Operações com derivativos - Forward,Derivative operations - Forward,BIDIRECTIONAL,ISDA+CONTRACT,DEFAULT,true
70002,DERIVATIVOS,DERIVATIVOS_SWAP,Operações com derivativos - Swap,Derivative operations - Swap,BIDIRECTIONAL,ISDA+CONTRACT,DEFAULT,true
80000,OUTROS,OUTROS_NAO_ESPECIFICADOS,Outras operações não especificadas,Other unspecified operations,BIDIRECTIONAL,JUSTIFICATION,DEFAULT,true
90000,VASP,ATIVO_VIRTUAL_INGRESSO,Recebimento por ativos virtuais (VASP),Virtual asset receipt (VASP),INGRESSO,VASP_REGISTER,DEFAULT,true
90001,VASP,ATIVO_VIRTUAL_REMESSA,Pagamento por ativos virtuais (VASP),Virtual asset payment (VASP),REMESSA,VASP_REGISTER,DEFAULT,true
