phrase,expected_code,notes
Pagamento via cartão de débito em loja estrangeira,50001,debit POS
Juros de depósito em conta no exterior,60000,deposit interest
Rendimento de aplicação financeira externa,60000,deposit interest variant
Juros remuneratórios de conta corrente offshore,60000,offshore interest
Direitos autorais recebidos do exterior,60100,copyright
Royalties de obra literária internacional,60100,copyright variant
Direito autoral de música licenciada para gravadora estrangeira,60100,music rights
Royalties tecnologia - software,60200,tech royalty
Pagamento de royalty de patente registrada no exterior,60200,tech royalty variant
Licença de uso de tecnologia patenteada,60200,patent license
Royalty de marca registrada no exterior,60201,trademark royalty
Pagamento de licença de marca internacional,60201,trademark variant
Franquia internacional - royalty de marca,60201,franchise royalty
Operação de derivativo NDF cambial,70000,NDF derivative
Non-deliverable forward USD/BRL,70000,NDF en
NDF com counterparty offshore,70000,NDF classic
Operação Forward de moeda estrangeira,70001,forward derivative
Hedge cambial via forward contract,70001,forward variant
Forward FX delivery físico,70001,forward delivery
Swap de taxa de juros internacional,70002,swap derivative
Currency swap operation,70002,swap variant
Cross-currency swap entre BRL e USD,70002,xccy swap
Operação financeira não classificada nas demais naturezas,80000,other
Demais operações não especificadas,80000,other variant
Conversão entre moedas estrangeiras EUR/JPY,80000,fallback other
Pagamento por aquisição de ativo virtual (cripto) ao exterior,90001,VASP outflow
Compra de criptoativo de exchange estrangeira,90001,VASP variant
Remessa para wallet de stablecoin no exterior,90001,VASP stablecoin
Recebimento de pagamento em ativo virtual,90000,VASP inflow
Venda de criptoativo a comprador estrangeiro,90000,VASP inflow variant
Recebimento em criptomoeda por serviço prestado,90000,VASP service
